Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,Component10,Component11,Component12,Component13,Component14,Component15,Component16,Component17,Component18,Component19,Component20,Component21,Component22,Component23,Component24,Component25,Component26,Component27,Component28,Component29,Component30,_subclass_
-0.4746567987834886,-0.28231927021577985,-0.32135158834484995,-0.4265723103854923,-0.3670538057220641,0.17774056337283173,0.030038617276328915,-0.015337489474970588,-0.053240597985417026,-0.011185101653249378,0.00017591178423990262,0.013588044773472361,-0.0457291497058958,0.005647931250648421,0.007369455409672682,-0.0004829821735048128,-0.009078354862685304,-0.01671759498106517,-0.009515753392523325,-0.04079579605488957,-0.005156573429341572,-7.621176177054692e-17,1.1928968522152033e-17,7.046357713127724e-17,3.536420109235073e-17,-1.3773695965697035e-17,6.015145829401822e-18,6.119253130481622e-17,7.169941972030969e-17,-3.692110926703095e-18,T
-0.5346290760741222,-0.40716491715164366,-0.46971238706056384,-0.7117574335344654,-1.1543129996079742,0.6625409999585645,0.056749444825374536,0.08606738234048757,-0.03179855222410567,0.002483694739358254,-0.028901008300784146,0.0353836007682932,-0.015286903602439901,0.031028179630292828,0.05623525711945385,0.010021112404543956,-0.013846381837779193,-0.04935519805951886,0.024242594901334274,-0.09857703350104505,0.0030924164021902075,-2.0700610539289083e-17,9.519569536903878e-17,1.8148587959379288e-16,6.311977670797965e-17,-9.704042281258377e-17,-2.174042978622709e-17,8.894810692044513e-17,1.8272172218282533e-16,-3.692110926703095e-18,T
-0.05539677645134053,-0.5561904050299828,-0.4119389148979296,-0.6124554997532334,-1.2770390711432134,0.60278941978868,-0.3158824961184402,0.4940120799756628,0.7697213358175129,0.12886062015291586,0.00807135791317352,-0.23031483643990772,0.08211704776470803,-0.04469768269032659,-0.24006636549316426,-0.07362155067089335,0.03892971481334262,-0.043051954962421285,-0.25176185682412494,0.6007919130730786,0.05331984757596873,-2.1498963984869148e-16,-2.3093231811460095e-16,2.6475260644067965e-16,-1.5198593431314443e-16,3.3317099922966437e-16,-3.409295493659596e-16,1.1670368253607405e-16,5.36605311282094e-16,1.3508576715144148e-16,T
-0.5346290760741222,-0.40716491715164366,-0.46971238706056384,-0.7117574335344654,-1.1543129996079742,0.6625409999585645,0.056749444825374536,0.08606738234048757,-0.03179855222410567,0.002483694739358254,-0.028901008300784146,0.0353836007682932,-0.015286903602439901,0.031028179630292828,0.05623525711945385,0.010021112404543956,-0.013846381837779193,-0.04935519805951886,0.024242594901334274,-0.09857703350104505,0.0030924164021902075,-2.0700610539289083e-17,9.519569536903878e-17,1.8148587959379288e-16,6.311977670797965e-17,-9.704042281258377e-17,-2.174042978622709e-17,8.894810692044513e-17,1.8272172218282533e-16,-3.692110926703095e-18,T
-0.4746567987834886,-0.28231927021577985,-0.32135158834484995,-0.4265723103854923,-0.3670538057220641,0.17774056337283173,0.030038617276328915,-0.015337489474970588,-0.053240597985417026,-0.011185101653249378,0.00017591178423990262,0.013588044773472361,-0.0457291497058958,0.005647931250648421,0.007369455409672682,-0.0004829821735048128,-0.009078354862685304,-0.01671759498106517,-0.009515753392523325,-0.04079579605488957,-0.005156573429341572,-7.621176177054692e-17,1.1928968522152033e-17,7.046357713127724e-17,3.536420109235073e-17,-1.3773695965697035e-17,6.015145829401822e-18,6.119253130481622e-17,7.169941972030969e-17,-3.692110926703095e-18,T
-0.5346290760741222,-0.40716491715164366,-0.46971238706056384,-0.7117574335344654,-1.1543129996079742,0.6625409999585645,0.056749444825374536,0.08606738234048757,-0.03179855222410567,0.002483694739358254,-0.028901008300784146,0.0353836007682932,-0.015286903602439901,0.031028179630292828,0.05623525711945385,0.010021112404543956,-0.013846381837779193,-0.04935519805951886,0.024242594901334274,-0.09857703350104505,0.0030924164021902075,-2.0700610539289083e-17,9.519569536903878e-17,1.8148587959379288e-16,6.311977670797965e-17,-9.704042281258377e-17,-2.174042978622709e-17,8.894810692044513e-17,1.8272172218282533e-16,-3.692110926703095e-18,T
-0.4746567987834886,-0.28231927021577985,-0.32135158834484995,-0.4265723103854923,-0.3670538057220641,0.17774056337283173,0.030038617276328915,-0.015337489474970588,-0.053240597985417026,-0.011185101653249378,0.00017591178423990262,0.013588044773472361,-0.0457291497058958,0.005647931250648421,0.007369455409672682,-0.0004829821735048128,-0.009078354862685304,-0.01671759498106517,-0.009515753392523325,-0.04079579605488957,-0.005156573429341572,-7.621176177054692e-17,1.1928968522152033e-17,7.046357713127724e-17,3.536420109235073e-17,-1.3773695965697035e-17,6.015145829401822e-18,6.119253130481622e-17,7.169941972030969e-17,-3.692110926703095e-18,T
-0.29537421458974483,-0.3457675663963896,-0.3177546183115166,-0.44192817171625826,-0.43165557556692413,0.13159571109061408,0.11671348975422025,-0.13954289790358718,-0.0873752847677669,0.05243343692105448,-0.05434865421045591,0.05821970913238854,-0.05985930635571103,-0.19227529137631702,0.018834457817006975,0.09731631949222203,0.17218106597684413,0.693550151370745,0.5321433881434694,0.16819224543684214,-0.03139350573887096,-2.1498963984869148e-16,-5.293047559826118e-16,1.5373030397816397e-16,1.4547519380629047e-17,1.7357643943979812e-16,-7.725158101748492e-17,1.5833704595951742e-16,-8.097860174623435e-18,-5.920326215796092e-17,T
-0.4146845214928549,-0.1574736232799161,-0.172990789629136,-0.1413871872365192,0.42020538816384573,-0.30705987321290107,0.0033277897272832938,-0.11674236129042877,-0.07468264374672838,-0.024853898045857005,0.02925283186926395,-0.008207511221348485,-0.07617139580935171,-0.019732317128995973,-0.041496346300108504,-0.010987076751553582,-0.004310327887591419,0.015920008097388538,-0.04327410168638093,0.016985441391265933,-0.013405563260873356,-1.3172291300180474e-16,-7.13377583247347e-17,-4.055872533123841e-17,7.608625476721818e-18,6.949303088118971e-17,3.377072144503073e-17,3.343695568918731e-17,-3.932288274220596e-17,-3.692110926703095e-18,P
-0.4746567987834886,-0.28231927021577985,-0.32135158834484995,-0.4265723103854923,-0.3670538057220641,0.17774056337283173,0.030038617276328915,-0.015337489474970588,-0.053240597985417026,-0.011185101653249378,0.00017591178423990262,0.013588044773472361,-0.0457291497058958,0.005647931250648421,0.007369455409672682,-0.0004829821735048128,-0.009078354862685304,-0.01671759498106517,-0.009515753392523325,-0.04079579605488957,-0.005156573429341572,-7.621176177054692e-17,1.1928968522152033e-17,7.046357713127724e-17,3.536420109235073e-17,-1.3773695965697035e-17,6.015145829401822e-18,6.119253130481622e-17,7.169941972030969e-17,-3.692110926703095e-18,T
-0.4746567987834886,-0.28231927021577985,-0.32135158834484995,-0.4265723103854923,-0.3670538057220641,0.17774056337283173,0.030038617276328915,-0.015337489474970588,-0.053240597985417026,-0.011185101653249378,0.00017591178423990262,0.013588044773472361,-0.0457291497058958,0.005647931250648421,0.007369455409672682,-0.0004829821735048128,-0.009078354862685304,-0.01671759498106517,-0.009515753392523325,-0.04079579605488957,-0.005156573429341572,-7.621176177054692e-17,1.1928968522152033e-17,7.046357713127724e-17,3.536420109235073e-17,-1.3773695965697035e-17,6.015145829401822e-18,6.119253130481622e-17,7.169941972030969e-17,-3.692110926703095e-18,T
