Term,ECSS Standards,Branches
DRD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_31C', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10_01C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_70_54C', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_40_02C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_12C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_70_39C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_Q_ST_70_26CRev1Corr1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_70_15C', 'ECSS_Q_ST_70_16C', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_S_ST_00CRev1', 'ECSS_U_ST_20C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_60_13C', 'ECSS_Q_ST_70_38CRev1Corr1', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_10C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20CRev1', 'ECSS_S_ST_00C']","['E', 'M', 'Q', '', 'U']"
ECSS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_10_24C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50_16C', 'ECSS_Q_ST_40_12C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_70_40C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_10_09C', 'ECSS_Q_ST_60_13C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'Q', '', 'U']"
ELR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_40C', 'ECSS_E_ST_10C']","['E', 'M', 'Q', '']"
FDIR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_34C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_30CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30C', 'ECSS_E_ST_10C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
FM,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_12C', 'ECSS_E_ST_31C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_34C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_60_02C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_80C', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_70_38CRev1Corr1', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_03C']","['E', 'Q', '']"
FMECA,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_20_21C', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_30_09C', 'ECSS_Q_ST_40_02C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_30CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70_15C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_10_09C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_10C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
FOM,['ECSS_E_ST_10CRev1'],['E']
FRR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_20_07C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_40C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C']","['E', 'M', 'Q', '', 'U']"
FTA,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_Q_ST_40_12C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_40C', 'ECSS_E_ST_10C']","['E', 'Q', '']"
GSE,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_32_10CRev2Corr1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_M_ST_10CRev1', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_40_02C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_60_13C', 'ECSS_E_ST_10C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_32_10CRev1', 'ECSS_E_ST_32_10CRev2', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_10_03C']","['E', 'M', 'Q', '']"
