Term,ECSS Standards,Branches
CoM,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_60_30C', 'ECSS_S_ST_00_01C']","['E', '']"
CSD,['ECSS_E_ST_10_09C'],['E']
DoF,['ECSS_E_ST_10_09C'],['E']
GCRS,['ECSS_E_ST_10_09C'],['E']
IAG,['ECSS_E_ST_10_09C'],['E']
IAU,['ECSS_E_ST_10_09C'],['E']
ICRF,['ECSS_E_ST_10_09C'],['E']
ICRS,['ECSS_E_ST_10_09C'],['E']
IERS,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
IMCCE,['ECSS_E_ST_10_09C'],['E']
ISO,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_10_12C', 'ECSS_E_ST_40C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_31_04C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_70_45C', 'ECSS_Q_ST_70_46CRev1', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_55C', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_70_50C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_70_80C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_80C', 'ECSS_Q_ST_70_05C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C']","['E', 'M', 'Q', '', 'U']"
ITRF,['ECSS_E_ST_10_09C'],['E']
ITRS,['ECSS_E_ST_10_09C'],['E']
IUGG,['ECSS_E_ST_10_09C'],['E']
J2000.0,['ECSS_E_ST_10_09C'],['E']
JPL,['ECSS_E_ST_10_09C'],['E']
L/V,['ECSS_E_ST_10_09C'],['E']
MICD,['ECSS_E_ST_10_09C'],['E']
RCS,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_35CRev1']",['E']
SI,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_32_01CRev1']",['E']
STR,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_60_20CRev1']",['E']
TAI,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_70_41C']",['E']
ToD,['ECSS_E_ST_10_09C'],['E']
TT,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_50_04C']",['E']
UTC,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_70_41C', 'ECSS_S_ST_00_01C']","['E', '']"
WGCCRE,['ECSS_E_ST_10_09C'],['E']
CSR,['ECSS_E_ST_10_11C'],['E']
DHM,['ECSS_E_ST_10_11C'],['E']
HCD,['ECSS_E_ST_10_11C'],['E']
HFE,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_35_06CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_35_06CRev1', 'ECSS_E_ST_10_03C']",['E']
HMI,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_40C', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10_03C']","['E', 'Q', '']"
NBF,['ECSS_E_ST_10_11C'],['E']
PF,['ECSS_E_ST_10_11C'],['E']
TA,"['ECSS_E_ST_10_11C', 'ECSS_E_ST_32_11C', 'ECSS_E_ST_10_03C']",['E']
VE,['ECSS_E_ST_10_11C'],['E']
ADC,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_50_14C', 'ECSS_S_ST_00_01C']","['E', '']"
ALARA,['ECSS_E_ST_10_12C'],['E']
APS,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_60_20CRev2', 'ECSS_Q_ST_60_15C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_60_20CRev1']","['E', 'Q', '']"
ASIC,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_11C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_60_02C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60_14C', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_30_11CRev1', 'ECSS_Q_ST_60_13C']","['E', 'Q', '']"
BFO,['ECSS_E_ST_10_12C'],['E']
BiCMOS,['ECSS_E_ST_10_12C'],['E']
BJT,['ECSS_E_ST_10_12C'],['E']
BRYNTRN,['ECSS_E_ST_10_12C'],['E']
BTE,['ECSS_E_ST_10_12C'],['E']
CAM/CAF,['ECSS_E_ST_10_12C'],['E']
CCD,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_60_20CRev2', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60_14C', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_60_13C', 'ECSS_E_ST_60_20CRev1']","['E', 'Q', '']"
CCE,['ECSS_E_ST_10_12C'],['E']
CEPXS/ONELD,['ECSS_E_ST_10_12C'],['E']
CERN,['ECSS_E_ST_10_12C'],['E']
CGRO,['ECSS_E_ST_10_12C'],['E']
CID,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
CMOS,['ECSS_E_ST_10_12C'],['E']
COMPTEL,['ECSS_E_ST_10_12C'],['E']
CREAM,['ECSS_E_ST_10_12C'],['E']
CEASE,['ECSS_E_ST_10_12C'],['E']
CREME,['ECSS_E_ST_10_12C'],['E']
CSA,"['ECSS_E_ST_10_12C', 'ECSS_M_ST_40CRev1']","['E', 'M']"
CSDA,['ECSS_E_ST_10_12C'],['E']
CTE,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_60_20CRev2', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_12C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_70_16C', 'ECSS_Q_ST_70_61C', 'ECSS_Q_ST_70_40C', 'ECSS_Q_ST_70_38C', 'ECSS_Q_ST_70_38CRev1Corr1', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_60_20CRev1']","['E', 'Q']"
CTI,['ECSS_E_ST_10_12C'],['E']
CTR,['ECSS_E_ST_10_12C'],['E']
CZT,['ECSS_E_ST_10_12C'],['E']
DAC,['ECSS_E_ST_10_12C'],['E']
DD,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_02C']","['E', 'Q']"
DDEF,['ECSS_E_ST_10_12C'],['E']
DDREF,['ECSS_E_ST_10_12C'],['E']
DNA,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_70_55C']","['E', 'Q']"
DOSRAD,['ECSS_E_ST_10_12C'],['E']
DRAM,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
DSP,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_60_14C', 'ECSS_E_ST_50_12C']","['E', 'Q']"
DUT,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_01C']",['E']
EEE,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_31C', 'ECSS_E_ST_20_21C', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_10CRev1', 'ECSS_Q_ST_30CRev1', 'ECSS_Q_ST_10_09CRev1', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_70_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_20C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_10C', 'ECSS_Q_ST_30C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_10_09C', 'ECSS_Q_ST_20CRev1', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60_14C', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_60_13C', 'ECSS_E_ST_10_02C']","['E', 'Q', '']"
EEPROM,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_70_11C', 'ECSS_E_ST_70C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
EGS,['ECSS_E_ST_10_12C'],['E']
ELDRS,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
EM,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_31C', 'ECSS_E_ST_34C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10_03C']","['E', 'Q', '']"
EPIC,['ECSS_E_ST_10_12C'],['E']
EPROM,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
ESA,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_20CRev1']","['E', 'Q', '', 'U']"
ESABASE,['ECSS_E_ST_10_12C'],['E']
ESD,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_31C', 'ECSS_E_ST_35_02C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_20_07CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_05CRev1', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_70_56C', 'ECSS_Q_ST_70_57C', 'ECSS_Q_ST_20_08C', 'ECSS_Q_ST_70_17C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_05C', 'ECSS_Q_ST_60_14C', 'ECSS_Q_ST_70_08C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_11C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20_07CRev1', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
EVA,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_34C', 'ECSS_Q_ST_70_01C']","['E', 'Q']"
FASTRAD,['ECSS_E_ST_10_12C'],['E']
FLUKA,['ECSS_E_ST_10_12C'],['E']
FPGA,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_11C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_60_02C', 'ECSS_Q_ST_60_14CRev1Corr1', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60_14C', 'ECSS_Q_ST_60CRev2']","['E', 'Q']"
GEANT,['ECSS_E_ST_10_12C'],['E']
GEO,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_20_06C']","['E', 'Q', '']"
GOES,['ECSS_E_ST_10_12C'],['E']
GRAS,['ECSS_E_ST_10_12C'],['E']
HERMES,['ECSS_E_ST_10_12C'],['E']
HETC,['ECSS_E_ST_10_12C'],['E']
hFE,['ECSS_E_ST_10_12C'],['E']
HPGe,['ECSS_E_ST_10_12C'],['E']
HZE,['ECSS_E_ST_10_12C'],['E']
IBIS,['ECSS_E_ST_10_12C'],['E']
IC,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_20_08C']",['E']
ICRP,['ECSS_E_ST_10_12C'],['E']
ICRU,['ECSS_E_ST_10_12C'],['E']
IGBT,['ECSS_E_ST_10_12C'],['E']
IML1,['ECSS_E_ST_10_12C'],['E']
INTEGRAL,['ECSS_E_ST_10_12C'],['E']
IR,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_02C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_05C']","['E', 'Q']"
IRPP,['ECSS_E_ST_10_12C'],['E']
IRTS,['ECSS_E_ST_10_12C'],['E']
ISOCAM,['ECSS_E_ST_10_12C'],['E']
ISS,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_34C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_32_01CRev1']","['E', '']"
ISSP,['ECSS_E_ST_10_12C'],['E']
ITS,['ECSS_E_ST_10_12C'],['E']
JAXA,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2']","['E', 'Q']"
JFET,['ECSS_E_ST_10_12C'],['E']
LDEF,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
LEO,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_31C', 'ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_70C', 'ECSS_E_ST_20_08CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70CRev2', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_20_08C', 'ECSS_E_ST_32_08C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_20_07CRev1']","['E', 'Q', '']"
LED,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_70_50C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_30_11CRev1', 'ECSS_Q_ST_60_13C']","['E', 'Q']"
LET,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_15C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
LHI,['ECSS_E_ST_10_12C'],['E']
LISA,['ECSS_E_ST_10_12C'],['E']
LNT,['ECSS_E_ST_10_12C'],['E']
LOCOS,['ECSS_E_ST_10_12C'],['E']
LWIR,['ECSS_E_ST_10_12C'],['E']
MCP,['ECSS_E_ST_10_12C'],['E']
MCNP,['ECSS_E_ST_10_12C'],['E']
MCNPX,['ECSS_E_ST_10_12C'],['E']
MCT,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_70_05CRev1', 'ECSS_Q_ST_70_05C']","['E', 'Q']"
MCU,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
MEMS,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_20_06C']",['E']
MEO,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
MICAP,['ECSS_E_ST_10_12C'],['E']
MMOP,['ECSS_E_ST_10_12C'],['E']
MORSE,['ECSS_E_ST_10_12C'],['E']
MOS,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_33_01CRev2', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_01CRev1']","['E', 'Q']"
MOSFET,['ECSS_E_ST_10_12C'],['E']
MRHWG,['ECSS_E_ST_10_12C'],['E']
MULASSIS,['ECSS_E_ST_10_12C'],['E']
MWIR,['ECSS_E_ST_10_12C'],['E']
NASA,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_Q_ST_40_02C', 'ECSS_Q_ST_70_58C', 'ECSS_Q_ST_70CRev2', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_70C', 'ECSS_Q_ST_70CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_32_01CRev1']","['E', 'Q', '', 'U']"
NCRP,['ECSS_E_ST_10_12C'],['E']
NID,['ECSS_E_ST_10_12C'],['E']
NIEL,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_15C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
NMOS,['ECSS_E_ST_10_12C'],['E']
NOVICE,['ECSS_E_ST_10_12C'],['E']
NPN,['ECSS_E_ST_10_12C'],['E']
NUREG,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_40_12C']","['E', 'Q']"
OMERE,['ECSS_E_ST_10_12C'],['E']
OSSE,['ECSS_E_ST_10_12C'],['E']
PCB,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_70_28C', 'ECSS_Q_ST_70_53C', 'ECSS_Q_ST_70_50C', 'ECSS_Q_ST_70_12C', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_70_61C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_70_10C', 'ECSS_Q_ST_70_11C', 'ECSS_Q_ST_70_38C', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_70_08C', 'ECSS_Q_ST_60_13C', 'ECSS_Q_ST_70_38CRev1Corr1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '']"
PCC,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_70C']",['E']
PIXIE,['ECSS_E_ST_10_12C'],['E']
PLL,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_05CRev1']",['E']
PMOS,['ECSS_E_ST_10_12C'],['E']
PMT,['ECSS_E_ST_10_12C'],['E']
PNP,['ECSS_E_ST_10_12C'],['E']
PNPN,['ECSS_E_ST_10_12C'],['E']
PPAC,['ECSS_E_ST_10_12C'],['E']
PSR,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_20_08C']","['E', 'Q']"
PSTAR,['ECSS_E_ST_10_12C'],['E']
PWM,['ECSS_E_ST_10_12C'],['E']
RBE,['ECSS_E_ST_10_12C'],['E']
RC,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_50_16C', 'ECSS_E_ST_10_04C']",['E']
RDM,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
RGS,['ECSS_E_ST_10_12C'],['E']
RHA,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
RPP,['ECSS_E_ST_10_12C'],['E']
RSA,['ECSS_E_ST_10_12C'],['E']
RTG,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
RTS,['ECSS_E_ST_10_12C'],['E']
SBD,['ECSS_E_ST_10_12C'],['E']
SDRAM,['ECSS_E_ST_10_12C'],['E']
SHIELDOSE,['ECSS_E_ST_10_12C'],['E']
SEB,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2']","['E', 'Q']"
SED,['ECSS_E_ST_10_12C'],['E']
SEDR,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
SEE,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_20C', 'ECSS_E_ST_60_21C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_30_11CRev1', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '']"
SEFI,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2']","['E', 'Q']"
SEGR,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_30_11C', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
SEHE,['ECSS_E_ST_10_12C'],['E']
SEL,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_E_ST_10_04C']","['E', 'Q']"
SEPE,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
SESB,['ECSS_E_ST_10_12C'],['E']
SET,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_60_20CRev2', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_E_ST_60_20CRev1']","['E', 'Q']"
SEU,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_60_20CRev2', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_02C', 'ECSS_Q_ST_60_12C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_60CRev3', 'ECSS_Q_ST_60CRev1', 'ECSS_Q_ST_60CRev2', 'ECSS_E_ST_60_20CRev1', 'ECSS_E_ST_10_04C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', 'Q']"
SMART-1,['ECSS_E_ST_10_12C'],['E']
SMU,['ECSS_E_ST_10_12C'],['E']
SOHO,['ECSS_E_ST_10_12C'],['E']
SOI,['ECSS_E_ST_10_12C'],['E']
SOS,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_40C', 'ECSS_Q_ST_80CRev1', 'ECSS_Q_ST_80C']","['E', 'Q']"
SPE,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_10_04C']",['E']
SPENVIS,['ECSS_E_ST_10_12C'],['E']
SPI,['ECSS_E_ST_10_12C'],['E']
SRAM,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
SREM,['ECSS_E_ST_10_12C'],['E']
SSAT,['ECSS_E_ST_10_12C'],['E']
STRV,['ECSS_E_ST_10_12C'],['E']
SV,['ECSS_E_ST_10_12C'],['E']
SWIR,['ECSS_E_ST_10_12C'],['E']
TID,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_70_17C']","['E', 'Q']"
TNID,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_70_17C']","['E', 'Q']"
UNSCEAR,['ECSS_E_ST_10_12C'],['E']
USAF,['ECSS_E_ST_10_12C'],['E']
